,median,xgb,average,l,u,ll,uu,true,delta,p12,p23,m1,m2,m3,petit,petitf
0,0.1826384671593567,4.0,0.1826384671593567,0.1826384671593567,0.1826384671593567,0.1826384671593567,0.1826384671593567,0.1826384671593567,2.00057298025935,0.9628812744433161,0.9628812744433158,3.0035e-06,3.0035e-06,3.0035e-06,0.8960248795132284,1.0407868760453303
1,0.9865505796874237,4.0,0.9865505796874237,0.9865505796874237,0.9865505796874237,0.9865505796874237,0.9865505796874237,0.9865505796874237,2.17295282614121,0.9597477711863656,0.9597477711863656,3.0035e-06,3.0035e-06,3.0035e-06,1.114564987160687,1.2570876950678445
2,1.3529001825543054,4.0,1.3529001825543054,1.3529001825543054,1.3529001825543054,1.3529001825543054,1.3529001825543054,1.3529001825543054,2.356865475312105,0.9564157660513048,0.9564157660513052,3.0035e-06,3.0035e-06,3.0035e-06,1.33097373826844,1.470441550761838
3,0.835850980934702,4.0,0.835850980934702,0.835850980934702,0.835850980934702,0.835850980934702,0.835850980934702,0.835850980934702,2.526927346257879,0.9533448933500064,0.9533448933500063,3.0035e-06,3.0035e-06,3.0035e-06,1.5182925172361084,1.654216269014694
4,1.8611568461994559,4.0,1.8611568461994559,1.8611568461994559,1.8611568461994559,1.8611568461994559,1.8611568461994559,1.8611568461994559,2.699368942976095,0.950241010223086,0.950241010223086,3.0035e-06,3.0035e-06,3.0035e-06,1.697779880920904,1.8292865388386168
5,1.2038277662292898,4.0,1.2038277662292898,1.2038277662292898,1.2038277662292898,1.2038277662292898,1.2038277662292898,1.2038277662292898,2.8639179023686854,0.947288507961381,0.9472885079613809,3.0035e-06,3.0035e-06,3.0035e-06,1.8608391671967248,1.9872386138829417
6,1.7748152245552093,4.0,1.7748152245552093,1.7748152245552093,1.7748152245552093,1.7748152245552093,1.7748152245552093,1.7748152245552093,3.037896871512711,0.9441766600393509,0.9441766600393507,3.0035e-06,3.0035e-06,3.0035e-06,2.0260018521150576,2.1459103121045753
7,1.389464343191197,4.0,1.389464343191197,1.389464343191197,1.389464343191197,1.389464343191197,1.389464343191197,1.389464343191197,3.2164718722330425,0.94099310137345,0.94099310137345,3.0035e-06,3.0035e-06,3.0035e-06,2.189202944689006,2.301106819905179
8,1.8910593672940545,4.0,1.8910593672940545,1.8910593672940545,1.8910593672940545,1.8910593672940545,1.8910593672940545,1.8910593672940545,3.391154739723391,0.9378891762897209,0.9378891762897209,3.0035e-06,3.0035e-06,3.0035e-06,2.343926132591282,2.446483461524675
9,2.134299723936633,4.0,2.134299723936633,2.134299723936633,2.134299723936633,2.134299723936633,2.134299723936633,2.134299723936633,3.5755716723616526,0.9346232390322693,0.9346232390322691,3.0035e-06,3.0035e-06,3.0035e-06,2.5032829867495567,2.5940906074873262
10,2.2086266491110473,4.0,2.2086266491110473,2.2086266491110473,2.2086266491110473,2.2086266491110473,2.2086266491110473,2.2086266491110473,3.743180553352655,0.9316646831748902,0.9316646831748904,3.0035e-06,3.0035e-06,3.0035e-06,2.645634063902908,2.7238254964362683
11,2.2031378622209656,4.0,2.2031378622209656,2.2031378622209656,2.2031378622209656,2.2031378622209656,2.2031378622209656,2.2031378622209656,3.9357946160247197,0.9282761290860914,0.9282761290860913,3.0035e-06,3.0035e-06,3.0035e-06,2.8075767032104757,2.8686155416201435
12,2.120824504665246,4.0,2.120824504665246,2.120824504665246,2.120824504665246,2.120824504665246,2.120824504665246,2.120824504665246,4.101896170710374,0.9253637305850998,0.9253637305850997,3.0035e-06,3.0035e-06,3.0035e-06,2.946879461336043,2.9904729694529046
13,3.358092293410114,4.0,3.358092293410114,3.358092293410114,3.358092293410114,3.358092293410114,3.358092293410114,3.358092293410114,4.270046459722037,0.922424557044239,0.922424557044239,3.0035e-06,3.0035e-06,3.0035e-06,3.0886138866460295,3.111615669158391
14,3.0172710734956953,4.0,3.0172710734956953,3.0172710734956953,3.0172710734956953,3.0172710734956953,3.0172710734956953,3.0172710734956953,4.442258027279936,0.9194238977170676,0.9194238977170676,3.0035e-06,3.0035e-06,3.0035e-06,3.235635518292676,3.233964154435273
15,3.3293038681817064,4.0,3.3293038681817064,3.3293038681817064,3.3293038681817064,3.3293038681817064,3.3293038681817064,3.3293038681817064,4.636021674692216,0.9160591603919613,0.9160591603919617,3.0035e-06,3.0035e-06,3.0035e-06,3.404894005830452,3.37028504437348
16,3.0493195456016,4.0,3.0493195456016,3.0493195456016,3.0493195456016,3.0493195456016,3.0493195456016,3.0493195456016,4.820716681267925,0.9128631424549974,0.9128631424549971,3.0035e-06,3.0035e-06,3.0035e-06,3.571860537910094,3.499660147955847
17,2.8525129696493834,4.0,2.8525129696493834,2.8525129696493834,2.8525129696493834,2.8525129696493834,2.8525129696493834,2.8525129696493834,4.998983710894213,0.9097887183660593,0.9097887183660596,3.0035e-06,3.0035e-06,3.0035e-06,3.7402893559640846,3.624732154028117
18,4.243247032165527,5.5866265296936035,4.327821731567383,4.5380487060546875,4.073467082977295,5.158067727088928,4.010939919948578,4.534613761296733,5.169885896787555,0.9068508281710115,0.9068508281710115,3.0035e-06,3.0035e-06,3.0035e-06,3.9107214799078487,3.745491257791592
19,3.800630747336669,4.0,3.800630747336669,3.800630747336669,3.800630747336669,3.800630747336669,3.800630747336669,3.800630747336669,5.357767479418891,0.9036317633282029,0.9036317633282027,3.0035e-06,3.0035e-06,3.0035e-06,4.11149638857344,3.880030146165712
20,4.148377418518066,4.0,4.228906631469727,4.280429954528809,4.044698276519775,4.64958107471466,4.005605173110962,4.078925793734018,5.531505938610143,0.9006649612030984,0.9006649612030985,3.0035e-06,3.0035e-06,3.0035e-06,4.313700156566039,4.006931075304512
21,4.57413387298584,5.487766742706299,4.6459126472473145,5.097291679382324,4.2067355537414555,5.578479278087616,4.067423629760742,4.535108489551827,5.69602952563617,0.8978642865266733,0.897864286526673,3.0035e-06,3.0035e-06,3.0035e-06,4.524725485496167,4.130119177516444
22,3.802864773795526,4.0,3.802864773795526,3.802864773795526,3.802864773795526,3.802864773795526,3.802864773795526,3.802864773795526,5.880836636912888,0.8947284629691771,0.8947284629691774,3.0035e-06,3.0035e-06,3.0035e-06,4.79272798930039,4.273072856171421
23,4.380596160888672,5.590620994567871,4.42943000793457,4.673949642181396,4.134133186340332,5.156478524208069,4.023110425472259,4.560490279703741,6.054249363625423,0.891795695839472,0.8917956958394724,3.0035e-06,3.0035e-06,3.0035e-06,5.086406869701419,4.412834199170921
24,4.499201774597168,5.311463832855225,4.574351787567139,4.999878902435302,4.153419036865234,5.4548593163490295,4.032271206378937,5.417362978041618,6.234234631508314,0.8887616817550468,0.888761681755047,3.0035e-06,3.0035e-06,3.0035e-06,5.456792779427006,4.565193993099957
