k,overall_complexity,rmse,complexity,loss,score,equation,sympy_format,lambda_format
5,50,1.4256284867059665,11,2.4667933,0.032897050250509305,(((s4 / (1.3774178 ^ m9)) ^ -0.12890375) / 0.24636106) - m2,-m2 + 4.0590830385289/(s4/1.3774178**m9)**0.12890375,PySRFunction(X=>-m2 + 4.0590830385289/(s4/1.3774178**m9)**0.12890375)
5,65,1.4397586824288127,13,2.3174145,0.03123346174434595,((s4 ^ -0.26591647) + (s7 ^ -0.26387957)) - ((m2 + m6) * 0.54410255),-0.54410255*m2 - 0.54410255*m6 + s4**(-0.26591647) + s7**(-0.26387957),PySRFunction(X=>-0.54410255*m2 - 0.54410255*m6 + s4**(-0.26591647) + s7**(-0.26387957))
5,66,1.4208902155582568,14,2.3067665,0.004605364201696473,(((s7 ^ -0.2652742) + (s4 ^ -0.2680505)) - (0.65437645 * m6)) - sin(m2),-0.65437645*m6 + s4**(-0.2680505) + s7**(-0.2652742) - sin(m2),PySRFunction(X=>-0.65437645*m6 + s4**(-0.2680505) + s7**(-0.2652742) - sin(m2))
5,80,1.4174879535788867,15,2.267273,0.017268972629516797,((s4 ^ -0.26591647) + (s7 ^ -0.26387957)) - ((0.6450199 - s2) * (m2 + m6)),s4**(-0.26591647) + s7**(-0.26387957) - (0.6450199 - s2)*(m2 + m6),PySRFunction(X=>s4**(-0.26591647) + s7**(-0.26387957) - (0.6450199 - s2)*(m2 + m6))
5,81,1.442838623920823,16,2.1654596,0.04594516244318216,(((s7 ^ -0.2652742) + (s4 ^ -0.26591647)) - (0.40371004 * (m6 + m2))) - sin(m2),-0.40371004*m2 - 0.40371004*m6 + s4**(-0.26591647) + s7**(-0.2652742) - sin(m2),PySRFunction(X=>-0.40371004*m2 - 0.40371004*m6 + s4**(-0.26591647) + s7**(-0.2652742) - sin(m2))
5,82,1.4438365101182473,17,2.1653104,6.890229684748039e-05,(((s7 ^ -0.2652742) + (s4 ^ -0.26591647)) - (sin(0.42121315) * (m6 + m2))) - sin(m2),-0.408867866578595*m2 - 0.408867866578595*m6 + s4**(-0.26591647) + s7**(-0.2652742) - sin(m2),PySRFunction(X=>-0.408867866578595*m2 - 0.408867866578595*m6 + s4**(-0.26591647) + s7**(-0.2652742) - sin(m2))
5,83,1.3979516490684647,18,2.1051812,0.02816217881247202,(((s7 ^ -0.2680505) + (s4 ^ -0.275197)) - (0.40115553 * (m6 + m2))) - sin(m2 + 0.45094392),-0.40115553*m2 - 0.40115553*m6 + s4**(-0.275197) + s7**(-0.2680505) - sin(m2 + 0.45094392),PySRFunction(X=>-0.40115553*m2 - 0.40115553*m6 + s4**(-0.275197) + s7**(-0.2680505) - sin(m2 + 0.45094392))
5,84,1.3979552305827114,19,2.1051414,1.8905914716064618e-05,(((sin(s7) ^ -0.2680505) + (s4 ^ -0.275197)) - (0.40115553 * (m6 + m2))) - sin(m2 + 0.45094392),-0.40115553*m2 - 0.40115553*m6 + s4**(-0.275197) + sin(s7)**(-0.2680505) - sin(m2 + 0.45094392),PySRFunction(X=>-0.40115553*m2 - 0.40115553*m6 + s4**(-0.275197) + sin(s7)**(-0.2680505) - sin(m2 + 0.45094392))
5,98,1.3951680415130818,20,2.0705857,0.016551124159720192,(((s7 ^ -0.2680505) + (s4 ^ -0.2742229)) - (0.38886482 * ((m6 + m2) - m0))) - sin(0.45094392 + m2),0.38886482*m0 - 0.38886482*m2 - 0.38886482*m6 + s4**(-0.2742229) + s7**(-0.2680505) - sin(m2 + 0.45094392),PySRFunction(X=>0.38886482*m0 - 0.38886482*m2 - 0.38886482*m6 + s4**(-0.2742229) + s7**(-0.2680505) - sin(m2 + 0.45094392))
5,99,1.396264503082659,21,2.051392,0.00931292700746117,(((s7 ^ -0.2680505) + (s4 ^ -0.2742229)) - (0.40371004 * ((m6 + m2) - sin(m0)))) - sin(0.45094392 + m2),-0.40371004*m2 - 0.40371004*m6 + s4**(-0.2742229) + s7**(-0.2680505) + 0.40371004*sin(m0) - sin(m2 + 0.45094392),PySRFunction(X=>-0.40371004*m2 - 0.40371004*m6 + s4**(-0.2742229) + s7**(-0.2680505) + 0.40371004*sin(m0) - sin(m2 + 0.45094392))
5,113,1.3880689468299348,22,2.0330353,0.008988689110127372,((((s7 ^ -0.2680505) + (s4 ^ -0.2680505)) - (0.38886482 * ((m6 - m0) + m2))) - sin(m2 + 0.45103914)) + s0,0.38886482*m0 - 0.38886482*m2 - 0.38886482*m6 + s0 + s4**(-0.2680505) + s7**(-0.2680505) - sin(m2 + 0.45103914),PySRFunction(X=>0.38886482*m0 - 0.38886482*m2 - 0.38886482*m6 + s0 + s4**(-0.2680505) + s7**(-0.2680505) - sin(m2 + 0.45103914))
5,127,1.3914759314864877,23,2.0120142,0.010393588131015962,(((s7 ^ -0.27229315) + (s4 ^ -0.2742229)) - (0.38967055 * ((m6 - sin(m0 - m6)) + m2))) - sin(s3 + m2),-0.38967055*m2 - 0.38967055*m6 + s4**(-0.2742229) + s7**(-0.27229315) + 0.38967055*sin(m0 - m6) - sin(m2 + s3),PySRFunction(X=>-0.38967055*m2 - 0.38967055*m6 + s4**(-0.2742229) + s7**(-0.27229315) + 0.38967055*sin(m0 - m6) - sin(m2 + s3))
