k,overall_complexity,rmse,complexity,loss,score,equation,sympy_format,lambda_format
3,41,1.532051188228798,13,2.6888301,0.023834875862364577,(((s4 ^ -0.27014238) + (s5 ^ -0.30035815)) - m8) + (1.2743413 - s6),-m8 + s4**(-0.27014238) + s5**(-0.30035815) - s6 + 1.2743413,PySRFunction(X=>-m8 + s4**(-0.27014238) + s5**(-0.30035815) - s6 + 1.2743413)
3,42,1.5195241893614078,14,2.6040883,0.0320235588094322,(((s4 ^ -0.3012419) + (s5 ^ -0.3052464)) - m8) + sin(m8 + 2.0624466),-m8 + s4**(-0.3012419) + s5**(-0.3052464) + sin(m8 + 2.0624466),PySRFunction(X=>-m8 + s4**(-0.3012419) + s5**(-0.3052464) + sin(m8 + 2.0624466))
3,44,1.484357010581781,16,2.5518813,0.010125890639998051,((((s4 ^ -0.27014238) + (s5 ^ -0.30035815)) - m8) - -0.6394093) + sin(m8 + 2.1240168),-m8 + s4**(-0.27014238) + s5**(-0.30035815) + sin(m8 + 2.1240168) + 0.6394093,PySRFunction(X=>-m8 + s4**(-0.27014238) + s5**(-0.30035815) + sin(m8 + 2.1240168) + 0.6394093)
3,52,1.4980780686533908,17,2.530029,0.008600086737288425,((((s5 ^ -0.28917998) + (s6 ^ -0.2031033)) + (s4 ^ -0.27014238)) - (m8 * 0.80420357)) - s3,-0.80420357*m8 - s3 + s4**(-0.27014238) + s5**(-0.28917998) + s6**(-0.2031033),PySRFunction(X=>-0.80420357*m8 - s3 + s4**(-0.27014238) + s5**(-0.28917998) + s6**(-0.2031033))
3,53,1.4782627549610652,18,2.376624,0.06254977184154362,(((((s5 ^ -0.30035815) + 1.148038) + (s4 ^ -0.2616646)) + sin(0.9369468 - m8)) - m8) - s6,-m8 + s4**(-0.2616646) + s5**(-0.30035815) - s6 - sin(m8 - 0.9369468) + 1.148038,PySRFunction(X=>-m8 + s4**(-0.2616646) + s5**(-0.30035815) - s6 - sin(m8 - 0.9369468) + 1.148038)
3,62,1.4913909543643362,20,2.275748,0.02168610185553212,((sin(0.9294415 - m8) + (((s5 ^ -0.28814045) + (s6 ^ -0.19777745)) + (s4 ^ -0.2616646))) - m8) - s3,-m8 - s3 + s4**(-0.2616646) + s5**(-0.28814045) + s6**(-0.19777745) - sin(m8 - 0.9294415),PySRFunction(X=>-m8 - s3 + s4**(-0.2616646) + s5**(-0.28814045) + s6**(-0.19777745) - sin(m8 - 0.9294415))
3,64,1.4469040639112754,22,2.2433722,0.007164304662329355,((sin(0.7386248 - m8) + (((s5 ^ -0.28917998) + (s6 ^ -0.2031033)) + (s4 ^ -0.2616646))) - (m8 * 0.83602375)) - s3,-0.83602375*m8 - s3 + s4**(-0.2616646) + s5**(-0.28917998) + s6**(-0.2031033) - sin(m8 - 0.7386248),PySRFunction(X=>-0.83602375*m8 - s3 + s4**(-0.2616646) + s5**(-0.28917998) + s6**(-0.2031033) - sin(m8 - 0.7386248))
3,65,1.45903078385861,23,2.241384,0.0008866480323951546,((sin(0.7386248 - m8) + (((s5 ^ -0.28917998) + (s6 ^ -0.2031033)) + (s4 ^ -0.2616646))) - (m8 * 0.83602375)) - sin(s3),-0.83602375*m8 + s4**(-0.2616646) + s5**(-0.28917998) + s6**(-0.2031033) - sin(s3) - sin(m8 - 0.7386248),PySRFunction(X=>-0.83602375*m8 + s4**(-0.2616646) + s5**(-0.28917998) + s6**(-0.2031033) - sin(s3) - sin(m8 - 0.7386248))
3,73,1.4565968211005105,24,2.1459181,0.043526052760519976,((sin(0.85669076 - m8) + ((s4 ^ -0.2616646) + ((s6 ^ -0.20445167) + (s5 ^ -0.2925752)))) - (m8 / (0.92803365 + s5))) - s3,-m8/(s5 + 0.92803365) - s3 + s4**(-0.2616646) + s5**(-0.2925752) + s6**(-0.20445167) - sin(m8 - 0.85669076),PySRFunction(X=>-m8/(s5 + 0.92803365) - s3 + s4**(-0.2616646) + s5**(-0.2925752) + s6**(-0.20445167) - sin(m8 - 0.85669076))
3,74,1.40838236732821,25,2.1433547,0.0011952610266163747,((sin(0.85669076 - m8) + ((s4 ^ -0.2616646) + ((s6 ^ -0.20445167) + (s5 ^ -0.27846912)))) - (m8 / (0.92803365 + s5))) - sin(s3),-m8/(s5 + 0.92803365) + s4**(-0.2616646) + s5**(-0.27846912) + s6**(-0.20445167) - sin(s3) - sin(m8 - 0.85669076),PySRFunction(X=>-m8/(s5 + 0.92803365) + s4**(-0.2616646) + s5**(-0.27846912) + s6**(-0.20445167) - sin(s3) - sin(m8 - 0.85669076))
